ChEBI	Count	TFIDF	Names	Mass	logP	Class
5400	1	2	glucocheirolin	438.47464	-2.31	['35850', '33261', '36962', '26835', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
5406	1	2	glucoiberin	422.47524	-3.07	['22063', '33261', '36962', '26835', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
5445	9	11	glyceraldehyde	90.07794	-1.56	['33914', '15693', '27137', '35381', '16646', '78616', '36963', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
5533	1	2	granaticin	444.38820	1.45	['48129', '25830', '36141', '25807', '26188', '3992', '24531', '36963', '17087', '24532', '36962', '25806', '36586', '33285', '5686', '33832', '33304', '36587', '36963', '50860', '33595', '72695', '33675', '72695', '36962', '25806', '33582', '25367', '50860', '33579', '50860', '25367', '33285', '33304', '33675', '36357', '33582', '23367', '33582', '36357', '50860', '33675', '33579', '23367', '24431', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
5551	1	2	Guaifenesin	198.216	0.956	['51683', '35618', '22712', '25698', '33659', '33836', '36963', '33655', '33832', '33659', '33598', '36962', '25806', '33595', '72695', '33655', '33832', '33597', '33285', '33304', '25367', '50860', '33595', '72695', '50860', '33675', '36357', '33582', '25367', '33582', '33579', '23367', '33675', '36357', '33675', '23367', '24431', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
5601	19	11	(+)-haematoxylin	302.27876	1.36	['51686', '38163', '26195', '26878', '38104', '38166', '33853', '30879', '24532', '36963', '24532', '33671', '33659', '33822', '33285', '5686', '33832', '36962', '25806', '33285', '5686', '33832', '33635', '33655', '24651', '50860', '33595', '72695', '33304', '50860', '33595', '72695', '25806', '33608', '37577', '33582', '25367', '33675', '33582', '25367', '50860', '33304', '33674', '36357', '33675', '33579', '33675', '36357', '33582', '33579', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
5623	2	3	harman	182.22120	3.14	['38958', '38482', '61379', '22315', '35506', '60834', '35352', '35507', '48888', '33285', '51143', '33245', '38101', '26979', '50860', '33302', '37175', '24532', '35352', '36688', '38166', '51959', '33582', '33675', '33692', '33285', '5686', '33832', '51143', '33671', '24532', '51958', '33675', '33579', '33608', '37577', '50860', '33595', '72695', '33302', '5686', '33635', '33285', '33832', '33579', '23367', '33674', '36357', '33582', '25367', '50860', '33675', '33595', '72695', '23367', '24431', '33579', '33675', '36357', '33582', '25367', '50860', '24431', '23367', '33579', '33675', '36357', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
5625	2	4	Harpagoside	494.489	-0.16	['61777', '26873', '24400', '24913', '63161', '18059', '50860', '63299', '50860', '33582', '78616', '33582', '33675', '36963', '33675', '33579', '36962', '25806', '33579', '23367', '33285', '33304', '23367', '24431', '50860', '33675', '24431', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
5626	2	4	Harringtonine	531.596	2.37	['22315', '35352', '33285', '51143', '50860', '33302', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
5659	1	2	hentriacontane	436.83986	10.3	['83563', '18310', '24632', '33653', '33245', '50860', '50860', '37175', '33582', '33582', '33692', '33675', '33675', '33608', '37577', '33579', '33579', '33674', '36357', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
5672	2	3	heptan-2-one	114.18546	1.96	['18044', '51867', '17087', '36586', '36587', '36963', '72695', '36962', '25806', '50860', '25367', '33285', '33304', '33582', '36357', '50860', '33675', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
5679	19	30	herniarin	176.169	1.9	['23403', '38445', '26004', '23232', '33659', '38443', '33655', '33832', '22727', '33595', '72695', '38104', '38166', '25367', '50860', '24532', '36963', '33671', '36357', '33582', '33285', '5686', '33832', '36962', '25806', '33635', '23367', '33675', '50860', '33595', '72695', '33285', '33304', '24431', '33579', '33582', '25367', '50860', '33675', '23367', '33675', '36357', '33582', '33579', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
5712	1	2	1-hexanamine	101.19000	1.96	['17062', '32877', '50994', '32952', '50047', '35352', '50860', '33285', '51143', '33582', '50860', '33302', '33675', '33582', '33675', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
5747	1	2	Homatropine	275.343	2.12	['25384', '33575', '36586', '35605', '64709', '36587', '36963', '24833', '50860', '72695', '36962', '25806', '24651', '33582', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
5759	1	1	Honokiol	266.335	5.27	['22888', '33836', '64459', '36820', '33659', '33598', '33595', '33655', '33832', '33597', '25367', '33595', '72695', '36357', '25367', '50860', '23367', '36357', '33582', '24431', '23367', '33675', '24431', '33579', '23367', '24431']
5764	1	2	hordenine	165.23224	1.89	['38605', '22315', '35352', '33285', '51143', '50860', '33302', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
5768	2	3	(1E,4E,8E)-alpha-humulene	204.35106	5.29	['49311', '49289', '35189', '35186', '24632', '24913', '33245', '18059', '50860', '50860', '37175', '33582', '33582', '33692', '33675', '33675', '33608', '37577', '33579', '33579', '33674', '36357', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
5792	1	2	Hydroquinidine	326.433	3.15	['51323', '26509', '22315', '35352', '33285', '51143', '50860', '33302', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
5807	5	7	Hydroxylamine hydrochloride	69.490	-0.132	['50860', '33582', '33675', '33579', '23367', '24431']
5818	1	1	hydroxyzine	374.90406	2.95	['46845', '46789', '83403', '26144', '50996', '25698', '30879', '23132', '38101', '25693', '50047', '36963', '33822', '22712', '36683', '24532', '35352', '33670', '50860', '36962', '25806', '24651', '33836', '17792', '23117', '33285', '5686', '33832', '51143', '33661', '33582', '33304', '25806', '33608', '37577', '33659', '33598', '37578', '24471', '50860', '33595', '72695', '33302', '33675', '33304', '33674', '36357', '33655', '33832', '33597', '24471', '37577', '33582', '25367', '50860', '33675', '33579', '23367', '33595', '72695', '36357', '33675', '36357', '33582', '33579', '23367', '24431', '25367', '50860', '33579', '23367', '33675', '24431', '36357', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
5831	1	2	Hypaconitine	615.712	2.09	['23849', '26873', '24913', '18059', '50860', '50860', '33582', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
5834	2	3	hyperforin	536.78498	7.55	['36130', '51961', '36785', '26872', '36132', '26873', '35294', '33636', '17087', '26873', '3992', '24913', '33598', '35295', '33595', '36586', '24913', '17087', '18059', '50860', '33597', '33832', '33635', '25367', '36587', '36963', '18059', '50860', '36586', '33582', '33595', '72695', '36357', '72695', '36962', '25806', '50860', '33582', '36587', '36963', '33675', '25367', '23367', '50860', '25367', '33285', '33304', '33582', '33675', '72695', '36962', '25806', '33579', '36357', '24431', '33582', '36357', '50860', '33675', '33579', '25367', '33285', '33304', '23367', '33675', '23367', '33582', '33579', '36357', '50860', '24431', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
5852	1	2	Ibogaine	310.441	4.41	['65323', '38164', '35618', '65321', '38166', '25698', '33659', '38958', '24532', '33671', '36963', '33655', '33832', '22315', '33285', '5686', '33832', '33635', '36962', '25806', '33595', '72695', '35352', '50860', '33595', '72695', '33285', '33304', '25367', '33285', '51143', '33582', '25367', '50860', '33675', '36357', '50860', '33302', '33675', '36357', '33582', '33579', '23367', '33582', '33675', '33579', '23367', '24431', '33675', '33579', '23367', '24431', '33579', '23367', '24431', '23367', '24431', '24431']
5855	4	4	ibuprofen	206.28082	3.88	['25384', '33575', '36586', '35605', '64709', '36587', '36963', '24833', '50860', '72695', '36962', '25806', '24651', '33582', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
5860	4	9	Ichangin	488.528	1.7	['26658', '26873', '24913', '18059', '50860', '50860', '33582', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
5864	2	2	ifosfamide	261.08600	0.746	['55369', '37598', '35467', '36683', '35352', '17102', '17792', '23117', '33285', '51143', '33256', '37578', '24471', '50860', '33302', '32988', '24471', '37577', '33675', '33582', '33675', '51143', '36357', '33579', '33675', '33579', '33302', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
5870	3	4	imidacloprid	255.66100	0.355	['38261', '39172', '38304', '39173', '25693', '38101', '26421', '36683', '24532', '33670', '35352', '25693', '38101', '17792', '23117', '33285', '5686', '33832', '33661', '51143', '24532', '33670', '35352', '37578', '24471', '50860', '33595', '72695', '33302', '33285', '5686', '33832', '33661', '51143', '24471', '37577', '33675', '33582', '25367', '50860', '33675', '33595', '72695', '33302', '36357', '33579', '33675', '36357', '33582', '33579', '25367', '50860', '23367', '33579', '23367', '33675', '36357', '33582', '24431', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
5877	2	2	N-(4-bromophenyl)-3,4,5,6-tetrahydrophthalimide	306.15500	3.44	['33257', '38101', '55417', '37149', '27171', '32988', '24532', '35352', '35356', '22712', '37141', '33672', '38166', '51143', '33285', '5686', '33832', '24782', '33836', '17792', '22928', '33636', '24532', '33671', '33302', '50860', '33595', '72695', '33257', '33659', '33598', '33285', '37578', '24471', '5686', '33832', '33635', '33675', '33582', '25367', '50860', '32988', '33655', '33832', '33597', '24471', '37577', '33595', '72695', '33579', '33675', '36357', '33582', '51143', '33595', '72695', '25367', '50860', '23367', '33579', '33675', '33302', '25367', '50860', '36357', '33582', '24431', '23367', '33579', '33675', '36357', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
5885	13	22	imperatorin	270.28000	3.43	['26369', '24128', '39432', '26979', '38104', '36688', '38166', '51959', '24532', '36963', '33671', '24532', '51958', '33285', '5686', '33832', '36962', '25806', '5686', '33635', '33285', '33832', '50860', '33595', '72695', '33304', '33595', '50860', '72695', '33582', '25367', '33675', '25367', '33582', '50860', '33675', '36357', '33579', '36357', '33675', '33582', '33579', '23367', '23367', '33579', '33675', '24431', '24431', '23367', '33579', '24431', '23367', '24431']
5981	1	2	isoalantolactone	232.31810	3.49	['37667', '62508', '26658', '37668', '26873', '25000', '24913', '33308', '38104', '35701', '18059', '50860', '36586', '35701', '24532', '36963', '50860', '33582', '36587', '36963', '33285', '5686', '33832', '36962', '25806', '33582', '33675', '72695', '36962', '25806', '50860', '33595', '33285', '33304', '33675', '33579', '50860', '25367', '33285', '33304', '33582', '33579', '23367', '33582', '36357', '50860', '33675', '23367', '24431', '33675', '33582', '33579', '24431', '33579', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
6015	6	4	isoflurane	184.49210	2.12	['37143', '17792', '24062', '33285', '37578', '24471', '50860', '24471', '37577', '33675', '33582', '33675', '36357', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
6017	3	7	isogentisin	258.22620	2.81	['51149', '26195', '35618', '38835', '3992', '33853', '25698', '33659', '39203', '17087', '33659', '33822', '36963', '33655', '33832', '38104', '38166', '36586', '33655', '33832', '24651', '50860', '36962', '25806', '33595', '72695', '24532', '36963', '33671', '36587', '33595', '72695', '25806', '33608', '37577', '33582', '33285', '33304', '25367', '50860', '33285', '5686', '33832', '36962', '25806', '33635', '72695', '25367', '50860', '33304', '33674', '36357', '33675', '33582', '50860', '33595', '72695', '33285', '33304', '25367', '36357', '33582', '33675', '33579', '23367', '33582', '25367', '50860', '33675', '36357', '23367', '33579', '24431', '33675', '36357', '33582', '33579', '23367', '24431', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
6030	4	4	isoniazide	137.13930	-0.51	['35363', '35362', '35352', '51143', '33285', '33302', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
6032	5	8	isonicotinic acid	123.10940	0.562	['26420', '25384', '26421', '33859', '33575', '25693', '38101', '33659', '36586', '35605', '64709', '24532', '33670', '35352', '33655', '33832', '36587', '36963', '24833', '50860', '33285', '5686', '33832', '33661', '51143', '33595', '72695', '72695', '36962', '25806', '24651', '33582', '50860', '33595', '33302', '25367', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '36357', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
6052	19	26	isorhamnetin	316.26230	1.91	['52267', '38684', '25401', '28802', '24698', '25241', '24698', '24043', '33822', '25698', '24043', '33822', '47916', '24651', '50860', '36963', '47916', '24651', '50860', '72544', '25806', '33608', '37577', '33582', '36962', '72544', '25806', '33608', '37577', '33582', '50860', '33304', '33674', '36357', '33675', '33285', '50860', '25806', '33304', '33674', '36357', '33675', '33582', '33579', '23367', '33582', '33304', '33675', '33579', '23367', '24431', '33675', '33579', '23367', '24431', '33579', '23367', '24431', '23367', '24431', '24431']
6087	1	2	Jatrorrhizine	338.378	-1.14	['22315', '35352', '33285', '51143', '50860', '33302', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
6089	1	2	Jesaconitine	675.764	1.7	['23849', '26873', '24913', '18059', '50860', '50860', '33582', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
6121	4	3	ketamine	237.72500	2.51	['23482', '50995', '83403', '36132', '50047', '23132', '3992', '35352', '50860', '22712', '36683', '17087', '33285', '51143', '33582', '33836', '17792', '23117', '36586', '50860', '33302', '33675', '33659', '33598', '33285', '37578', '24471', '36587', '36963', '33582', '33675', '33579', '33655', '33832', '33597', '50860', '24471', '37577', '72695', '36962', '25806', '33675', '33579', '23367', '33595', '33582', '36357', '50860', '25367', '33285', '33304', '33579', '23367', '24431', '33675', '33582', '36357', '50860', '33675', '23367', '24431', '33579', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
6128	1	1	ketoprofen	254.28056	3.2	['22726', '35871', '76224', '25384', '25754', '17087', '33575', '36586', '35605', '64709', '36587', '36963', '24833', '50860', '72695', '36962', '25806', '24651', '33582', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
6130	1	1	ketorolac tromethamine	376.40370	2.29	['46850', '35276', '51143', '33302', '33675', '33579', '23367', '24431']
6426	3	3	leupeptin	426.554	-0.458	['47923', '17478', '25676', '36586', '16670', '36587', '36963', '37622', '50047', '72695', '36962', '25806', '36963', '35352', '33256', '50860', '25367', '33285', '33304', '36962', '25806', '33285', '51143', '32988', '33582', '36357', '50860', '33675', '33285', '33304', '50860', '33302', '51143', '33675', '23367', '33582', '33579', '50860', '33675', '33582', '33302', '33579', '24431', '23367', '33582', '33579', '33675', '23367', '24431', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
6456	5	5	lidocaine	234.33736	2.18	['29347', '50996', '22712', '37622', '50047', '33836', '36963', '35352', '33256', '50860', '33659', '33598', '36962', '25806', '33285', '51143', '32988', '33582', '33655', '33832', '33597', '33285', '33304', '50860', '33302', '51143', '33675', '33595', '72695', '50860', '33675', '33582', '33302', '33579', '25367', '33582', '33579', '33675', '23367', '36357', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
6469	1	2	linalyl acetate	196.286	3.92	['60911', '60004', '59999', '24431']
6472	1	1	lincomycin	406.53700	0.441	['23007', '35275', '29347', '46770', '84186', '63299', '63161', '73754', '59793', '37622', '38260', '29347', '26273', '83811', '78616', '63299', '33261', '59792', '36963', '35352', '33256', '38101', '25693', '37622', '83821', '36963', '78616', '36962', '26835', '33261', '25806', '33285', '51143', '32988', '24532', '35352', '33670', '33256', '36962', '25806', '36963', '33285', '33304', '26835', '50860', '33302', '51143', '5686', '33832', '33661', '32988', '33285', '33304', '36962', '25806', '50860', '33675', '33582', '33302', '33595', '72695', '51143', '50860', '33675', '33285', '33304', '33582', '33579', '25367', '33302', '33582', '33579', '50860', '33675', '23367', '36357', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
6498	4	6	lipoxin A4	352.46508	3.07	['6497', '15904', '140345', '61703', '35366', '26208', '24654', '23899', '25384', '18059', '27208', '35868', '35366', '61697', '33575', '50860', '35366', '25384', '24669', '18059', '50860', '36586', '35605', '64709', '33582', '25384', '18059', '33575', '33822', '33582', '36587', '36963', '24833', '50860', '33675', '33575', '36586', '35605', '64709', '24651', '33675', '72695', '36962', '25806', '24651', '33582', '33579', '36586', '35605', '64709', '36587', '36963', '24833', '50860', '33608', '37577', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '36587', '36963', '24833', '72695', '36962', '24651', '33582', '33674', '36357', '23367', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '24431', '72695', '36962', '25806', '24651', '25367', '33285', '33608', '37577', '24431', '33675', '23367', '33582', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '36357', '33674', '33579', '24431', '33675', '23367', '33582', '36357', '50860', '33304', '33674', '23367', '33579', '24431', '33675', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
6499	1	2	lipoxin B4	352.46508	3.02	['6497', '15904', '140345', '61703', '35366', '26208', '24654', '23899', '25384', '18059', '27208', '35868', '35366', '61697', '33575', '50860', '35366', '25384', '24669', '18059', '50860', '36586', '35605', '64709', '33582', '25384', '18059', '33575', '33822', '33582', '36587', '36963', '24833', '50860', '33675', '33575', '36586', '35605', '64709', '24651', '33675', '72695', '36962', '25806', '24651', '33582', '33579', '36586', '35605', '64709', '36587', '36963', '24833', '50860', '33608', '37577', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '36587', '36963', '24833', '72695', '36962', '24651', '33582', '33674', '36357', '23367', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '24431', '72695', '36962', '25806', '24651', '25367', '33285', '33608', '37577', '24431', '33675', '23367', '33582', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '36357', '33674', '33579', '24431', '33675', '23367', '33582', '36357', '50860', '33304', '33674', '23367', '33579', '24431', '33675', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
6520	1	1	lomustine	233.69500	2.66	['76551', '36683', '47857', '35800', '17792', '23117', '33256', '51143', '33285', '37578', '24471', '32988', '33302', '50860', '24471', '37577', '33675', '51143', '33675', '33582', '36357', '33579', '33302', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
6570	36	53	lupeol	426.71740	8.62	['35681', '25872', '30879', '36615', '51958', '33822', '26873', '33832', '33635', '24651', '50860', '24913', '72695', '33595', '25806', '33608', '37577', '33582', '18059', '50860', '25367', '33304', '33674', '36357', '33675', '50860', '33582', '33675', '33579', '23367', '33582', '33579', '23367', '24431', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
6591	1	2	Lycodine	242.360	2.76	['25962', '25961', '33853', '33836', '38032', '33659', '33822', '33659', '33598', '35294', '51959', '33655', '33832', '24651', '50860', '33655', '33832', '33597', '33598', '35295', '51958', '33595', '72695', '25806', '33608', '37577', '33582', '33595', '72695', '33597', '33832', '33635', '25367', '50860', '33304', '33674', '36357', '33675', '25367', '50860', '33595', '72695', '36357', '33582', '33675', '33579', '23367', '36357', '33582', '25367', '50860', '23367', '33675', '33579', '24431', '23367', '33675', '36357', '33582', '24431', '33579', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
6617	2	2	MEGA	325.406	2.59	['22702', '22645', '29347', '62733', '37622', '32988', '33659', '36963', '35352', '33256', '51143', '33655', '33832', '36962', '25806', '33285', '51143', '32988', '33302', '33595', '72695', '33285', '33304', '50860', '33302', '51143', '33675', '25367', '50860', '33675', '33582', '33302', '33579', '36357', '33582', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
6641	1	2	(S)-magnoflorine	342.410	-0.962	['134209', '35267', '22750', '35274', '25697', '24921', '51143', '33702', '25699', '36916', '22315', '33302', '36916', '36358', '50860', '24870', '35352', '33675', '24870', '36357', '33582', '23367', '33285', '51143', '33579', '23367', '33675', '24431', '50860', '33302', '23367', '24431', '33579', '33582', '33675', '24431', '23367', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
6643	1	2	Magnolol	266.335	5.26	['22888', '33836', '64459', '36820', '33659', '33598', '33595', '33655', '33832', '33597', '25367', '33595', '72695', '36357', '25367', '50860', '23367', '36357', '33582', '24431', '23367', '33675', '24431', '33579', '23367', '24431']
6650	12	15	malic acid	134.08744	-1.04	['50263', '66873', '35692', '131927', '33575', '36586', '35605', '64709', '36587', '36963', '24833', '50860', '72695', '36962', '25806', '24651', '33582', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
6682	3	5	mangiferin	422.33962	-0.381	['20857', '51149', '63161', '63299', '38835', '3992', '63299', '78616', '39203', '17087', '78616', '36963', '38104', '38166', '36586', '36963', '36962', '25806', '24532', '33671', '36587', '36962', '25806', '33285', '33304', '5686', '33832', '33635', '72695', '33285', '33304', '50860', '33675', '33595', '72695', '25367', '50860', '33675', '33582', '33579', '25367', '36357', '33582', '33579', '33675', '23367', '36357', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
6695	4	8	(+)-marmesin	246.25856	1.93	['49080', '26369', '26878', '24128', '30879', '39432', '33822', '26979', '38104', '24651', '50860', '36688', '38166', '51959', '24532', '36963', '25806', '33608', '37577', '33582', '33671', '24532', '51958', '33285', '5686', '33832', '36962', '25806', '33304', '33674', '36357', '33675', '5686', '33635', '33285', '33832', '50860', '33595', '72695', '33304', '33675', '33579', '23367', '33595', '50860', '72695', '33582', '25367', '33675', '33579', '23367', '24431', '25367', '33582', '50860', '33675', '36357', '33579', '23367', '24431', '36357', '33675', '33582', '33579', '23367', '24431', '23367', '33579', '33675', '24431', '24431', '23367', '33579', '24431', '23367', '24431']
6716	4	5	medroxyprogesterone acetate	386.532	3.72	['47880', '47622', '36885', '47909', '50858', '35701', '35341', '33308', '35789', '51689', '47788', '36963', '51958', '18059', '36586', '35701', '17087', '35341', '51721', '78840', '3992', '35789', '36962', '25806', '33832', '33635', '50860', '36587', '36963', '36586', '51958', '18059', '17087', '35341', '33285', '33304', '72695', '33595', '33582', '36962', '25806', '36587', '36963', '33832', '33635', '50860', '36586', '51958', '18059', '50860', '33675', '25367', '33285', '33304', '72695', '36962', '25806', '33595', '33582', '36587', '36963', '33832', '33635', '33582', '33579', '36357', '50860', '33675', '25367', '33285', '33304', '72695', '36962', '25806', '33595', '33675', '23367', '33582', '33579', '36357', '50860', '25367', '33285', '33304', '33579', '24431', '33675', '23367', '33582', '36357', '50860', '23367', '33579', '24431', '33675', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
6731	1	2	melezitose	504.43710	-2.29	['27150', '50699', '16646', '78616', '36963', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
6754	1	1	Meperidine	247.338	2.66	['23990', '48630', '50996', '33308', '26151', '50047', '36586', '35701', '38101', '25693', '35352', '50860', '36587', '36963', '24532', '35352', '33670', '33285', '51143', '33582', '72695', '36962', '25806', '33285', '5686', '33832', '51143', '33661', '50860', '33302', '33675', '50860', '25367', '33285', '33304', '33595', '72695', '33302', '33582', '33675', '33579', '33582', '36357', '50860', '33675', '25367', '33579', '23367', '33675', '23367', '33582', '33579', '36357', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
6757	5	8	mephenytoin	218.252	1.61	['24628', '55370', '38261', '38304', '25693', '38101', '24532', '33670', '35352', '33285', '5686', '33832', '33661', '51143', '50860', '33595', '72695', '33302', '33582', '25367', '50860', '33675', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
6758	2	4	mephobarbital	246.26190	1.79	['22693', '38337', '39447', '38313', '25693', '38101', '24532', '33670', '35352', '33285', '5686', '33832', '33661', '51143', '50860', '33595', '72695', '33302', '33582', '25367', '50860', '33675', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
6773	1	2	Mesaconitine	631.712	1.44	['23849', '26873', '24913', '18059', '50860', '50860', '33582', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
6798	1	2	metazachlor	277.74900	2.08	['62733', '36683', '26410', '32988', '33659', '17792', '23117', '23677', '51143', '33655', '33832', '33285', '37578', '24471', '68452', '33302', '33595', '72695', '50860', '24471', '37577', '33675', '38179', '38101', '33675', '25367', '50860', '33582', '36357', '33579', '33833', '24532', '35352', '33579', '36357', '33582', '33675', '23367', '33659', '24532', '33285', '5686', '33832', '51143', '23367', '33675', '33579', '24431', '33655', '33832', '33285', '5686', '50860', '33595', '72695', '33302', '24431', '33579', '23367', '33595', '72695', '50860', '33582', '25367', '33675', '23367', '24431', '25367', '50860', '33582', '33675', '36357', '33579', '24431', '36357', '33582', '33675', '33579', '23367', '23367', '33675', '33579', '24431', '24431', '33579', '23367', '23367', '24431', '24431']
6801	3	3	metformin	129.16384	-1.4	['24436', '35352', '33285', '51143', '50860', '33302', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
6807	7	7	methadone	309.44520	3.77	['32876', '17087', '22712', '50996', '32952', '36586', '33836', '50047', '36587', '36963', '33659', '33598', '35352', '50860', '72695', '36962', '25806', '33655', '33832', '33597', '33285', '51143', '33582', '50860', '25367', '33304', '33595', '72695', '50860', '33302', '33675', '33582', '36357', '25367', '33582', '33675', '33579', '23367', '36357', '33675', '33579', '23367', '24431', '33579', '23367', '24431', '23367', '24431', '24431']
6809	3	3	methamphetamine	149.23284	2.16	['35338', '32863', '32952', '50995', '50047', '35352', '50860', '33285', '51143', '33582', '50860', '33302', '33675', '33582', '33675', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
