ChEBI	Count	TFIDF	Names	Mass	logP	Class
16226	6	11	limonin	470.51160	3.47	['39434', '32955', '70994', '24129', '51914', '25000', '36615', '37407', '51958', '38104', '25693', '38166', '33308', '35701', '26873', '25698', '38104', '33832', '33635', '24532', '36963', '33670', '33671', '36586', '35701', '24913', '36963', '24532', '72695', '33595', '33285', '5686', '33832', '36962', '25806', '33661', '33635', '36587', '18059', '50860', '36962', '25806', '33285', '5686', '33832', '25367', '33595', '72695', '33304', '50860', '33582', '33285', '33304', '33595', '72695', '36357', '25367', '33675', '33582', '33675', '50860', '25367', '23367', '36357', '33579', '33675', '33579', '33582', '36357', '24431', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
16227	78	74	pyridine	79.09990	0.64	['35555', '38179', '50893', '26421', '25693', '35571', '33833', '38101', '24532', '33670', '35573', '35552', '33659', '35352', '33285', '5686', '33832', '33661', '35568', '33245', '33655', '51143', '50860', '33595', '72695', '23367', '37175', '33302', '33582', '25367', '50860', '24431', '33692', '33675', '33675', '36357', '33582', '33608', '37577', '33579', '33579', '23367', '33675', '33674', '36357', '23367', '24431', '33579', '24431', '23367', '24431']
16234	1	1	hydroxide	17.00734	2.63	['33693', '36902', '33242', '33304', '24835', '33692', '33675', '23367', '33608', '37577', '33579', '24431', '33674', '36357', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
16235	126	113	guanine	151.126	-0.91	['26386', '25810', '20702', '26401', '18282', '22527', '35875', '38101', '26401', '27171', '38101', '33833', '24532', '35352', '35875', '33672', '38166', '24532', '35352', '33659', '33285', '5686', '33832', '51143', '27171', '38101', '33833', '33636', '5686', '24532', '33671', '33285', '33832', '51143', '33655', '50860', '33595', '72695', '33302', '33672', '38166', '35352', '33659', '33595', '33285', '5686', '33832', '33635', '50860', '72695', '33302', '33582', '25367', '33675', '33636', '24532', '33671', '51143', '33655', '25367', '50860', '33595', '72695', '33582', '33675', '36357', '33579', '33285', '5686', '33832', '33635', '33302', '36357', '33582', '25367', '50860', '33675', '33579', '23367', '33595', '72695', '23367', '33675', '36357', '33582', '33579', '24431', '25367', '50860', '24431', '33579', '23367', '33675', '36357', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
16236	5	6	ethanol	46.06844	-0.204	['15734', '50584', '134179', '23982', '30879', '2571', '72695', '15734', '33822', '30879', '50860', '25367', '24651', '50860', '33822', '33582', '36357', '25806', '33608', '37577', '33582', '24651', '50860', '33675', '23367', '33304', '33674', '36357', '33675', '25806', '33608', '37577', '33582', '33579', '24431', '33675', '33579', '23367', '33304', '33674', '36357', '33579', '23367', '24431', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
16240	119	89	hydrogen peroxide	34.01468	-0.145	['24837', '26523', '24836', '25940', '25806', '25741', '24835', '33304', '25806', '37577', '23367', '33675', '33304', '36357', '24431', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
16244	35	71	4-(trimethylammonio)butanoate	145.19954	-3.08	['22860', '35284', '83821', '35281', '26469', '35352', '27369', '35352', '33285', '51143', '51151', '33285', '51143', '50860', '33302', '72695', '50860', '33302', '33582', '33675', '50860', '25367', '33582', '33675', '33579', '33582', '36357', '33675', '33579', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
16256	1	2	2-methyl-3-oxopropanoic acid	102.08860	-0.0916	['47881', '17478', '35871', '36586', '25384', '25754', '36587', '36963', '33575', '72695', '36962', '25806', '36586', '35605', '64709', '50860', '25367', '33285', '33304', '36587', '36963', '24833', '50860', '33582', '36357', '33675', '72695', '36962', '25806', '24651', '33582', '33675', '23367', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33579', '24431', '23367', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '24431', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
16259	25	48	N-acetyl-L-phenylalanine	207.22586	0.882	['77673', '21545', '21626', '21644', '84144', '21575', '22160', '25985', '51569', '25985', '83811', '22195', '22160', '37622', '83821', '33575', '37622', '83821', '36963', '35352', '33256', '36586', '35605', '64709', '36963', '35352', '33256', '36962', '25806', '33285', '51143', '32988', '36587', '36963', '24833', '50860', '36962', '25806', '33285', '51143', '32988', '33304', '33302', '72695', '36962', '25806', '24651', '33582', '33285', '33304', '50860', '33302', '51143', '33675', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '33302', '33579', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
16265	9	15	succinic semialdehyde	102.08864	-0.26	['26643', '17478', '25384', '36586', '33575', '36587', '36963', '36586', '35605', '64709', '72695', '36962', '25806', '36587', '36963', '24833', '50860', '50860', '25367', '33285', '33304', '72695', '36962', '25806', '24651', '33582', '33582', '36357', '50860', '33675', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '33582', '33579', '36357', '50860', '33304', '33674', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
16284	3	5	dATP	491.18160	-3.46	['37042', '19237', '26389', '26390', '16381', '19239', '26393', '16516', '26395', '19260', '37016', '23612', '17326', '36976', '26401', '47018', '19569', '4431', '16701', '19260', '25608', '61297', '25608', '35875', '47017', '23634', '36976', '29075', '47018', '19569', '4431', '25703', '37734', '61120', '26390', '61293', '25703', '37734', '61120', '27171', '38101', '33833', '26912', '25900', '25608', '36976', '47017', '23634', '26020', '26079', '25710', '35701', '51143', '26395', '19260', '26020', '26079', '25710', '35701', '51143', '33833', '33672', '38166', '24532', '35352', '33659', '38104', '25693', '35131', '84055', '25703', '37734', '61120', '25608', '26912', '25900', '36359', '26082', '33285', '36963', '33302', '36976', '26401', '47018', '19569', '4431', '26079', '36359', '26082', '33285', '36963', '33302', '33659', '24532', '33636', '5686', '33671', '33832', '51143', '33655', '33670', '33447', '63409', '26020', '25710', '35701', '33833', '25703', '37734', '61120', '38104', '25693', '35131', '84055', '33241', '36360', '50860', '36962', '25806', '33675', '25608', '35875', '47017', '23634', '36976', '36359', '33241', '36360', '33302', '50860', '36962', '25806', '33675', '33655', '33832', '33285', '5686', '33595', '33635', '72695', '33661', '63367', '26816', '26079', '26082', '36963', '33659', '24532', '26020', '25710', '35701', '51143', '33833', '33670', '33447', '63409', '37577', '33582', '33304', '33579', '25703', '37734', '61120', '27171', '38101', '26912', '25900', '25608', '33241', '36360', '37577', '26082', '33675', '33582', '33285', '33304', '33579', '33595', '72695', '50860', '25367', '63299', '25703', '37734', '36359', '33302', '36962', '25806', '33655', '33832', '5686', '26079', '36963', '33659', '24532', '33661', '63367', '26816', '36357', '23367', '26020', '25710', '35701', '51143', '33833', '33672', '38166', '35352', '38104', '25693', '35131', '84055', '61120', '37577', '26082', '36357', '33302', '33579', '33675', '50860', '23367', '25367', '33582', '78616', '26020', '26079', '25710', '35701', '33241', '36360', '33285', '33304', '33595', '72695', '36359', '36962', '25806', '33655', '33832', '5686', '63299', '25703', '37734', '24431', '36963', '33659', '24532', '33636', '33671', '51143', '33670', '33447', '63409', '33833', '36357', '33302', '23367', '33675', '33579', '33582', '24431', '36963', '26079', '36359', '26082', '33285', '37577', '50860', '25367', '33241', '36360', '33304', '33595', '72695', '78616', '26020', '25710', '35701', '36962', '25806', '33655', '33832', '5686', '33635', '33661', '63367', '26816', '33659', '24532', '23367', '33675', '24431', '33579', '36962', '25806', '36359', '33241', '36360', '33302', '50860', '36357', '33582', '37577', '26082', '25367', '36963', '26079', '33285', '33304', '33595', '72695', '63299', '25703', '37734', '33655', '33832', '5686', '24431', '33579', '23367', '33285', '33304', '33241', '36360', '37577', '26082', '33675', '33582', '36357', '33302', '36962', '25806', '36359', '50860', '25367', '78616', '26020', '26079', '25710', '35701', '33595', '72695', '23367', '24431', '50860', '33675', '37577', '26082', '36357', '33302', '33579', '33285', '33304', '33241', '36360', '33582', '36963', '26079', '36359', '25367', '24431', '33582', '33579', '36357', '33302', '23367', '33675', '50860', '37577', '26082', '36962', '25806', '36359', '33241', '36360', '33675', '23367', '24431', '33579', '33582', '36357', '33302', '33285', '33304', '33241', '36360', '37577', '26082', '33579', '24431', '23367', '33675', '50860', '37577', '26082', '36357', '33302', '23367', '24431', '33579', '33582', '36357', '33302', '33675', '24431', '23367', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
16285	3	5	phytanic acid	312.53040	7.62	['39417', '15904', '62499', '26607', '35819', '35366', '35366', '25384', '18059', '25384', '18059', '33575', '50860', '33575', '50860', '36586', '35605', '64709', '33582', '36586', '35605', '64709', '33582', '36587', '36963', '24833', '50860', '33675', '36587', '36963', '24833', '50860', '33675', '72695', '36962', '25806', '24651', '33582', '33579', '72695', '36962', '25806', '24651', '33582', '33579', '50860', '25367', '33285', '33304', '33608', '37577', '33675', '23367', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '23367', '33582', '36357', '33674', '33579', '24431', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '24431', '23367', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
16300	10	18	alpha-D-ribose 1-phosphate	230.10980	-1.9	['35425', '35159', '26562', '25900', '35131', '84055', '33447', '63409', '63367', '26816', '63299', '25703', '37734', '78616', '26020', '26079', '25710', '35701', '36963', '26079', '36359', '26082', '33285', '36962', '25806', '36359', '33241', '36360', '33302', '50860', '33285', '33304', '33241', '36360', '37577', '26082', '33675', '33582', '50860', '33675', '37577', '26082', '36357', '33302', '33579', '33582', '33579', '36357', '33302', '23367', '33675', '33675', '23367', '24431', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
16301	64	62	nitrite	46.00554	0.228	['33458', '62764', '79389', '33459', '51143', '24834', '35406', '33302', '22563', '36914', '25741', '33273', '33675', '24870', '24835', '25806', '37577', '22563', '36358', '33579', '23367', '33304', '36357', '24870', '23367', '24431', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
16308	2	4	sucrose 6(F)-phosphate	422.27640	-1.82	['23843', '26816', '63353', '25703', '37734', '63299', '26020', '26079', '25710', '35701', '78616', '26079', '36359', '26082', '33285', '36963', '36359', '33241', '36360', '33302', '50860', '36962', '25806', '33241', '36360', '37577', '26082', '33675', '33582', '33285', '33304', '37577', '26082', '36357', '33302', '33579', '33675', '50860', '36357', '33302', '23367', '33675', '33579', '33582', '23367', '33675', '24431', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
16310	2	4	sulcatone	126.196	2.34	['51867', '24523', '17087', '36586', '36587', '36963', '72695', '36962', '25806', '50860', '25367', '33285', '33304', '33582', '36357', '50860', '33675', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
16311	1	2	dCTP	467.15690	-3.5	['37092', '37043', '23621', '26435', '26436', '16381', '25608', '26439', '16516', '26441', '19260', '37016', '25703', '37734', '61120', '17326', '36976', '39447', '47018', '19569', '4431', '16701', '19260', '26020', '26079', '25710', '35701', '51143', '33833', '25608', '38313', '47017', '23634', '36976', '29075', '47018', '19569', '4431', '26079', '36359', '26082', '33285', '36963', '33302', '33659', '24532', '25703', '37734', '61120', '25693', '38101', '26912', '25900', '25608', '36976', '47017', '23634', '36359', '33241', '36360', '33302', '50860', '36962', '25806', '33675', '33655', '33832', '33285', '5686', '26020', '26079', '25710', '35701', '51143', '33833', '24532', '33670', '35352', '38104', '25693', '35131', '84055', '25703', '37734', '61120', '25608', '26912', '25900', '33241', '36360', '37577', '26082', '33675', '33582', '33285', '33304', '33579', '33595', '72695', '50860', '26079', '36359', '36963', '33302', '33659', '24532', '5686', '33832', '33661', '51143', '33670', '33447', '63409', '26020', '25710', '35701', '33833', '25703', '37734', '61120', '38104', '25693', '35131', '84055', '37577', '26082', '36357', '33302', '33579', '33675', '50860', '23367', '25367', '33582', '36359', '33241', '36360', '36962', '25806', '33655', '33832', '33285', '5686', '33595', '72695', '33661', '63367', '26816', '26079', '36963', '33659', '24532', '26020', '25710', '35701', '51143', '33833', '33670', '33447', '63409', '36357', '33302', '23367', '33675', '33579', '33582', '24431', '33241', '36360', '37577', '26082', '33285', '33304', '33595', '72695', '50860', '25367', '63299', '25703', '37734', '36359', '36962', '25806', '33655', '33832', '5686', '26079', '36963', '33659', '24532', '33661', '63367', '26816', '23367', '33675', '24431', '33579', '37577', '26082', '36357', '33302', '50860', '25367', '33582', '78616', '26020', '26079', '25710', '35701', '33241', '36360', '33285', '33304', '33595', '72695', '36359', '36962', '25806', '33655', '33832', '5686', '63299', '25703', '37734', '24431', '33579', '23367', '36357', '33302', '33675', '33582', '36963', '26079', '36359', '26082', '33285', '37577', '50860', '25367', '33241', '36360', '33304', '33595', '72695', '78616', '26020', '25710', '35701', '23367', '24431', '33675', '33579', '36962', '25806', '36359', '33241', '36360', '33302', '50860', '36357', '33582', '37577', '26082', '25367', '36963', '26079', '33285', '24431', '33579', '23367', '33285', '33304', '33241', '36360', '37577', '26082', '33675', '33582', '36357', '33302', '36962', '25806', '36359', '50860', '23367', '24431', '50860', '33675', '37577', '26082', '36357', '33302', '33579', '33285', '33304', '33241', '36360', '33582', '24431', '33582', '33579', '36357', '33302', '23367', '33675', '50860', '37577', '26082', '33675', '23367', '24431', '33579', '33582', '36357', '33302', '33579', '24431', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
16323	1	3	plastoquinol-1	206.28080	3.79	['62192', '26253', '24646', '33570', '33853', '33659', '33822', '33655', '33832', '24651', '50860', '33595', '72695', '25806', '33608', '37577', '33582', '25367', '50860', '33304', '33674', '36357', '33675', '36357', '33582', '33675', '33579', '23367', '23367', '33675', '33579', '24431', '24431', '33579', '23367', '23367', '24431', '24431']
16325	7	11	lithocholic acid	376.57260	4.96	['3098', '36260', '131620', '24663', '138366', '131657', '36248', '33822', '36078', '35350', '25384', '35341', '36278', '136889', '24651', '50860', '35341', '33822', '33575', '51958', '18059', '47891', '36078', '35341', '25806', '33608', '37577', '33582', '51958', '18059', '24651', '50860', '36586', '35605', '64709', '33832', '33635', '35341', '64709', '51958', '18059', '33304', '33674', '36357', '33675', '33832', '33635', '50860', '25806', '33608', '37577', '33582', '36587', '36963', '24833', '72695', '33595', '51958', '18059', '50860', '33832', '33635', '33675', '33579', '23367', '72695', '33595', '33582', '33304', '33674', '36357', '36962', '25806', '24651', '25367', '33832', '33635', '50860', '33582', '72695', '33595', '33579', '23367', '24431', '25367', '33675', '33285', '33304', '25806', '33608', '37577', '36357', '72695', '33595', '33582', '33675', '50860', '25367', '23367', '24431', '36357', '33579', '33304', '33674', '50860', '25367', '33675', '33579', '33582', '36357', '24431', '23367', '33582', '36357', '33579', '23367', '33675', '24431', '33675', '23367', '24431', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
16335	471	405	adenosine	267.24152	-1.05	['142355', '22260', '26399', '26394', '18254', '33838', '26401', '47019', '21731', '26912', '61120', '35875', '47017', '35352', '63161', '63299', '38104', '25693', '51143', '33833', '27171', '38101', '26912', '33285', '51143', '63299', '78616', '24532', '36963', '33670', '33302', '33659', '33672', '38166', '35352', '38104', '25693', '50860', '33302', '78616', '36963', '33285', '5686', '33832', '36962', '25806', '33661', '33675', '33655', '33636', '24532', '33671', '51143', '33670', '33582', '33675', '36963', '36962', '25806', '50860', '33595', '72695', '33285', '33304', '33579', '5686', '33832', '33635', '33302', '33661', '33675', '33579', '36962', '25806', '33285', '33304', '33582', '25367', '50860', '23367', '33595', '72695', '33579', '23367', '33285', '33304', '50860', '33675', '36357', '33582', '24431', '25367', '23367', '24431', '50860', '33675', '33582', '33579', '36357', '24431', '33582', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
16343	1	2	phenylethanolamine	137.17908	-0.34	['25990', '23981', '22478', '30879', '50047', '33822', '35352', '50860', '24651', '50860', '33285', '51143', '33582', '25806', '33608', '37577', '33582', '50860', '33302', '33675', '33304', '33674', '36357', '33675', '33582', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
16344	16	30	guanidinoacetic acid	117.108	-1.75	['24439', '24373', '21672', '83811', '83821', '83821', '35352', '35352', '33285', '51143', '33285', '51143', '50860', '33302', '50860', '33302', '33582', '33675', '33582', '33675', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
16345	2	5	3-sulfino-L-alanine	153.15802	-3.27	['37783', '47910', '33261', '37784', '64709', '26834', '83824', '36962', '26835', '33424', '50860', '33709', '33576', '23509', '83811', '33285', '33304', '33241', '26835', '33582', '50047', '33575', '33261', '83821', '50860', '33675', '37577', '33304', '35352', '36586', '35605', '64709', '36962', '26835', '33582', '33579', '36357', '33675', '33285', '51143', '36587', '36963', '24833', '50860', '33304', '33675', '23367', '33579', '50860', '33302', '72695', '36962', '25806', '24651', '33582', '33579', '24431', '23367', '33582', '33675', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '23367', '24431', '33675', '33579', '33582', '36357', '50860', '33304', '33674', '24431', '33579', '23367', '33675', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
16347	52	80	(R)-carnitine	161.19894	-3.07	['17126', '22860', '35284', '83821', '35281', '26469', '35352', '27369', '35352', '33285', '51143', '51151', '33285', '51143', '50860', '33302', '72695', '50860', '33302', '33582', '33675', '50860', '25367', '33582', '33675', '33579', '33582', '36357', '33675', '33579', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
16348	2	3	3-nitropropanoic acid	119.076	0.0898	['35716', '35715', '72695', '51143', '50860', '25367', '33302', '33582', '36357', '33675', '23367', '33579', '24431', '23367', '24431']
16352	4	10	4-hydroxy-1-pyrroline-2-carboxylic acid	129.11402	0.0944	['23591', '19098', '83821', '25384', '23763', '35352', '33575', '25693', '38101', '33285', '51143', '36586', '35605', '64709', '24532', '33670', '35352', '50860', '33302', '36587', '36963', '24833', '33285', '5686', '33832', '33661', '51143', '33582', '33675', '72695', '36962', '25806', '24651', '50860', '33595', '33302', '33675', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33582', '33579', '23367', '33582', '36357', '50860', '33675', '33304', '33674', '23367', '24431', '33675', '33582', '33579', '24431', '33579', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
16353	3	6	sinapine	310.36550	-2.03	['35287', '35267', '35274', '25697', '51143', '33702', '25699', '36916', '33302', '36916', '36358', '50860', '24870', '33675', '24870', '36357', '33582', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
16354	5	12	N-methylhydantoin	114.10272	-1.06	['24628', '55370', '38261', '38304', '25693', '38101', '24532', '33670', '35352', '33285', '5686', '33832', '33661', '51143', '50860', '33595', '72695', '33302', '33582', '25367', '50860', '33675', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
16359	67	93	cholic acid	408.57140	2.1	['3098', '131620', '36835', '36843', '36846', '27114', '24663', '138366', '131657', '36834', '35681', '36844', '36845', '36248', '33822', '36078', '35350', '25384', '35341', '30879', '36278', '136889', '24651', '50860', '35341', '33822', '33575', '51958', '18059', '47891', '36078', '35341', '25806', '33608', '37577', '33582', '51958', '18059', '24651', '50860', '36586', '35605', '64709', '33832', '33635', '35341', '64709', '51958', '18059', '33304', '33674', '36357', '33675', '33832', '33635', '50860', '25806', '33608', '37577', '33582', '36587', '36963', '24833', '72695', '33595', '51958', '18059', '50860', '33832', '33635', '33675', '33579', '23367', '72695', '33595', '33582', '33304', '33674', '36357', '36962', '25806', '24651', '25367', '33832', '33635', '50860', '33582', '72695', '33595', '33579', '23367', '24431', '25367', '33675', '33285', '33304', '25806', '33608', '37577', '36357', '72695', '33595', '33582', '33675', '50860', '25367', '23367', '24431', '36357', '33579', '33304', '33674', '50860', '25367', '33675', '33579', '33582', '36357', '24431', '23367', '33582', '36357', '33579', '23367', '33675', '24431', '33675', '23367', '24431', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
16382	16	17	iodide	126.90447	1.71	['16042', '36897', '33429', '79389', '36893', '23905', '36830', '24834', '33434', '24867', '22563', '36914', '33259', '24870', '33238', '24835', '23367', '23367', '33259', '24431', '24431', '23367', '24431']
16383	40	68	cis-aconitate(3-)	171.08442	-0.0447	['22210', '27092', '35753', '38717', '29067', '25696', '35406', '25699', '22563', '25741', '33273', '50860', '24870', '25806', '37577', '22563', '36358', '33582', '23367', '33304', '36357', '24870', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
16384	3	4	trans-5-O-caffeoyl-D-quinic acid	354.30870	-0.0712	['36123', '36087', '25384', '35868', '33598', '51702', '26004', '33575', '25384', '24669', '33597', '33832', '51737', '78840', '33659', '36586', '35605', '64709', '33575', '33822', '33595', '72695', '33308', '50860', '33655', '33832', '36587', '36963', '24833', '50860', '36586', '35605', '64709', '24651', '25367', '35701', '33582', '33595', '72695', '72695', '36962', '25806', '24651', '33582', '36587', '36963', '24833', '50860', '33608', '37577', '36357', '33675', '25367', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '72695', '36962', '24651', '33582', '33674', '36357', '23367', '33579', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '25367', '33285', '25806', '33608', '37577', '23367', '24431', '33675', '23367', '33582', '33579', '36357', '50860', '33304', '33674', '24431', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
16388	3	7	4-hydroxymandelic acid	168.14672	0.776	['52618', '33853', '24669', '33659', '33822', '33575', '33822', '33655', '33832', '24651', '50860', '36586', '35605', '64709', '24651', '50860', '33595', '72695', '25806', '33608', '37577', '33582', '36587', '36963', '24833', '50860', '25806', '33608', '37577', '33582', '25367', '33304', '33674', '36357', '33675', '72695', '36962', '25806', '24651', '33582', '33304', '33674', '36357', '33675', '33579', '23367', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33579', '23367', '24431', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '24431', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
16390	1	2	3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanic acid	406.55552	2.17	['47789', '25753', '35789', '36248', '17087', '35341', '36278', '136889', '36586', '51958', '18059', '47891', '36078', '35341', '36587', '36963', '33832', '33635', '50860', '35341', '64709', '51958', '18059', '72695', '36962', '25806', '33595', '33582', '51958', '18059', '50860', '33832', '33635', '50860', '25367', '33285', '33304', '33675', '33832', '33635', '33582', '72695', '33595', '33582', '36357', '50860', '33675', '33579', '72695', '33595', '25367', '33675', '23367', '33582', '33579', '50860', '25367', '36357', '33579', '24431', '33675', '23367', '33582', '36357', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
16397	11	11	formamide	45.04066	-0.852	['29347', '64708', '24079', '37622', '50860', '36963', '35352', '33256', '33582', '36962', '25806', '33285', '51143', '32988', '33675', '33285', '33304', '50860', '33302', '51143', '33579', '50860', '33675', '33582', '33302', '23367', '33582', '33579', '33675', '24431', '33675', '23367', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
16411	27	35	indole-3-acetic acid	175.18400	1.53	['25384', '24803', '33575', '24810', '36586', '35605', '64709', '46867', '36587', '36963', '24833', '50860', '24828', '33575', '72695', '36962', '25806', '24651', '33582', '22728', '36586', '35605', '64709', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '27171', '38101', '38180', '36587', '36963', '24833', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '33672', '38166', '24532', '35352', '33833', '72695', '36962', '25806', '24651', '33675', '23367', '33582', '33579', '33636', '5686', '24532', '33671', '33285', '33832', '51143', '33659', '50860', '25367', '33304', '25806', '33608', '37577', '33579', '24431', '33675', '23367', '33595', '33285', '5686', '33832', '33635', '50860', '72695', '33302', '33655', '33582', '36357', '33304', '33674', '23367', '33579', '24431', '25367', '50860', '33595', '72695', '33582', '33675', '24431', '23367', '36357', '33582', '25367', '50860', '33675', '33579', '24431', '23367', '33675', '36357', '33582', '33579', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
16415	3	5	protopine	353.36860	1.87	['38608', '38607', '24921', '26979', '38101', '22315', '36688', '38166', '51959', '24532', '35352', '33671', '24532', '51958', '33285', '5686', '33832', '51143', '5686', '33635', '33285', '33832', '50860', '33595', '72695', '33302', '33595', '50860', '72695', '33582', '25367', '33675', '25367', '33582', '50860', '33675', '36357', '33579', '36357', '33675', '33582', '33579', '23367', '23367', '33579', '33675', '24431', '24431', '23367', '33579', '24431', '23367', '24431']
16422	1	2	androst-4-ene-3,17-dione	286.40850	2.9	['19168', '50402', '47909', '35789', '3992', '35341', '51689', '47788', '17087', '35341', '51958', '18059', '51721', '78840', '3992', '35789', '36586', '51958', '18059', '33832', '33635', '50860', '17087', '35341', '36587', '36963', '33832', '33635', '50860', '72695', '33595', '33582', '36586', '51958', '18059', '72695', '36962', '25806', '33595', '33582', '50860', '25367', '33675', '36587', '36963', '33832', '33635', '50860', '25367', '33285', '33304', '33675', '33582', '36357', '33579', '72695', '36962', '25806', '33595', '33582', '36357', '50860', '33675', '33579', '23367', '25367', '33285', '33304', '33675', '23367', '33582', '33579', '24431', '36357', '50860', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
16424	2	3	phenylacetaldehyde	120.14850	1.63	['73359', '25973', '17478', '36586', '36587', '36963', '72695', '36962', '25806', '50860', '25367', '33285', '33304', '33582', '36357', '50860', '33675', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
16436	2	3	CDP-choline	488.32412	-3.8	['36700', '25604', '23217', '25703', '37734', '23213', '22478', '36976', '35267', '26020', '26079', '25710', '35701', '30879', '50047', '25608', '35274', '25697', '26079', '36359', '26082', '33285', '36963', '33822', '35352', '50860', '25703', '37734', '61120', '51143', '33702', '25699', '36916', '36359', '33241', '36360', '33302', '50860', '36962', '25806', '24651', '33285', '33582', '26020', '26079', '25710', '35701', '33833', '33302', '36916', '36358', '50860', '24870', '33241', '36360', '37577', '26082', '33675', '33582', '33285', '33304', '25806', '33608', '26079', '36359', '36963', '33659', '24532', '33675', '24870', '36357', '33582', '23367', '37577', '26082', '33302', '33579', '50860', '33304', '33674', '36359', '33241', '36360', '36962', '25806', '33655', '33832', '33285', '5686', '33579', '23367', '33675', '24431', '36357', '33302', '33582', '33241', '36360', '37577', '26082', '33285', '33304', '33595', '72695', '50860', '23367', '24431', '33579', '33675', '37577', '26082', '36357', '33302', '50860', '25367', '33582', '24431', '23367', '33579', '36357', '33302', '33675', '33582', '24431', '23367', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
16441	3	6	linamarin	247.24512	-1.6	['22798', '35436', '60980', '24278', '35313', '24400', '63161', '63299', '78616', '36963', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
